순위,선수ID,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,78603,김선빈,KIA,0.370,40,153,111,1.38,11,0.98,3.51,0.107,85.4,0.308
2,79215,박건우,두산,0.366,62,119,127,0.94,9,0.64,3.67,0.215,105.1,0.336
3,62907,박민우,NC,0.363,32,110,90,1.22,10,0.90,3.76,0.108,78.0,0.316
4,62947,나성범,NC,0.347,68,113,99,1.14,16,0.41,3.73,0.237,107.7,0.333
5,72133,박용택,LG,0.344,39,128,127,1.01,12,0.82,4.08,0.136,100.6,0.311
6,72443,최형우,KIA,0.342,65,110,154,0.71,13,1.17,3.99,0.233,123.7,0.347
7,78224,김재환,두산,0.340,71,104,136,0.76,15,0.66,3.94,0.263,128.6,0.344
8,66740,로사리오,한화,0.339,68,122,116,1.05,7,0.82,3.54,0.321,108.1,0.352
9,77532,손아섭,롯데,0.335,59,175,115,1.52,6,0.86,4.00,0.179,119.3,0.318
10,78168,서건창,넥센,0.332,37,170,128,1.33,9,0.99,3.91,0.096,92.0,0.289
11,76849,이명기,KIA,0.332,37,163,93,1.75,9,0.49,3.73,0.127,75.2,0.282
12,76753,송광민,한화,0.327,39,117,97,1.21,6,0.24,3.60,0.149,68.8,0.279
13,67341,이정후,넥센,0.324,39,182,126,1.44,5,0.90,4.04,0.092,88.6,0.282
14,78513,전준우,롯데,0.321,46,125,116,1.08,5,0.43,3.87,0.182,76.3,0.292
15,71564,이대호,롯데,0.320,47,118,168,0.70,14,0.60,3.70,0.213,101.8,0.309
16,67650,버나디나,KIA,0.320,61,161,115,1.40,15,0.37,3.69,0.221,110.6,0.302
17,75847,최정,SK,0.316,65,63,132,0.48,10,0.65,4.23,0.367,116.4,0.363
18,79608,안치홍,KIA,0.316,52,123,145,0.85,9,0.61,3.83,0.197,85.9,0.296
19,67450,러프,삼성,0.315,69,112,138,0.81,9,0.56,4.09,0.254,106.0,0.320
20,74215,윤석민,KT,0.312,51,159,133,1.20,10,0.39,3.89,0.171,83.3,0.281
21,78813,모창민,NC,0.312,45,113,141,0.80,9,0.48,3.65,0.173,81.8,0.284
22,61353,고종욱,넥센,0.312,40,114,89,1.28,5,0.24,3.91,0.150,63.1,0.273
23,62404,구자욱,삼성,0.310,70,107,154,0.69,5,0.46,4.06,0.216,113.7,0.304
24,70410,김주찬,KIA,0.309,53,122,124,0.98,5,0.53,3.49,0.180,68.1,0.284
25,75334,오재일,두산,0.306,53,72,137,0.53,5,0.56,3.90,0.255,83.2,0.310
26,74339,유한준,KT,0.306,32,120,133,0.90,1,0.76,3.97,0.130,68.8,0.276
27,76249,민병헌,두산,0.304,35,118,125,0.94,10,0.64,3.55,0.141,75.8,0.286
28,64610,강한울,삼성,0.303,12,145,86,1.69,4,0.46,3.95,0.036,47.8,0.240
29,67598,번즈,롯데,0.303,53,84,114,0.74,12,0.29,3.54,0.196,66.8,0.287
30,64300,김하성,넥센,0.302,62,107,202,0.53,11,0.89,3.95,0.211,99.4,0.297
31,76267,최주환,두산,0.301,29,108,118,0.92,3,0.66,3.95,0.123,61.7,0.273
32,78629,나지완,KIA,0.301,50,91,132,0.69,6,0.59,3.93,0.233,98.3,0.316
33,67935,스크럭스,NC,0.300,59,92,84,1.10,13,0.49,4.27,0.295,99.9,0.330
34,66244,에반스,두산,0.296,46,104,147,0.71,9,0.54,3.97,0.195,89.7,0.290
35,76509,김문호,롯데,0.292,20,121,83,1.46,2,0.51,3.82,0.064,53.5,0.256
36,73209,나주환,SK,0.291,44,99,114,0.87,8,0.22,3.88,0.198,59.3,0.270
37,71552,최준석,롯데,0.291,29,120,86,1.40,10,0.55,4.19,0.139,59.1,0.271
38,63963,권희동,NC,0.286,41,120,134,0.90,9,0.57,4.11,0.172,80.8,0.281
39,74540,강민호,롯데,0.285,45,124,101,1.23,5,0.39,3.86,0.197,74.3,0.283
40,62700,하주석,한화,0.285,37,145,82,1.77,6,0.28,3.49,0.155,59.0,0.258
41,62415,박해민,삼성,0.284,40,171,168,1.02,4,0.64,3.91,0.109,82.2,0.250
42,77564,김민성,넥센,0.282,42,104,150,0.69,9,0.46,4.18,0.155,69.5,0.264
43,95436,이승엽,삼성,0.280,59,107,156,0.69,9,0.55,3.92,0.237,84.3,0.285
